ar,produksjon_olje,produksjon_gass,produksjon_ngl,prisbane_olje,prisbane_gass,prisbane_ngl,driftsutgifter,investeringsutgifter,deflator,snks,marginalskattesats,sdoe_andel_olje,sdoe_andel_gass,sdoe_andel_ngl,gassprisgjennomslag,dollarkurs,fat_per_sm3,produksjon_sd_historisk,produksjon_sd_basis,produksjon_sd_hoy,produksjon_sd_lav
1971,,,,,,,,,,,,,,,,,,0.357118,,,
1972,,,,,,,,,,,,,,,,,,1.927020,,,
1973,,,,,,,,,,,,,,,,,,1.869520,,,
1974,,,,,,,,,,,,,,,,,,2.014168,,,
1975,,,,,,,,,,,,,,,,,,10.995331,,,
1976,,,,,,,,,,,,,,,,,,16.226786,,,
1977,,,,,,,,,,,,,,,,,,16.644887,,,
1978,,,,,,,,,,,,,,,,,,20.665088,,,
1979,,,,,,,,,,,,,,,,,,23.599488,,,
1980,,,,,,,,,,,,,,,,,,30.601781,,,
1981,,,,,,,,,,,,,,,,,,48.185097,,,
1982,,,,,,,,,,,,,,,,,,50.081648,,,
1983,,,,,,,,,,,,,,,,,,61.383089,,,
1984,,,,,,,,,,,,,,,,,,69.268332,,,
1985,,,,,,,,,,,,,,,,,,73.187094,,,
1986,,,,,,,,,,,,,,,,,,78.768671,,,
1987,,,,,,,,,,,,,,,,,,89.483387,,,
1988,,,,,,,,,,,,,,,,,,98.145052,,,
1989,,,,,,,,,,,,,,,,,,119.942174,,,
1990,,,,,,,,,,,,,,,,,,125.505174,,,
1991,,,,,,,,,,,,,,,,,,138.898737,,,
1992,,,,,,,,,,,,,,,,,,155.411379,,,
1993,,,,,,,,,,,,,,,,,,163.294376,,,
1994,,,,,,,,,,,,,,,,,,183.626285,,,
1995,,,,,,,,,,,,,,,,,,196.907574,,,
1996,,,,,,,,,,,,,,,,,,226.233152,,,
1997,,,,,,,,,,,,,,,,7.052500,6.289810,233.682405,,,
1998,,,,,,,,,,,,,,,,7.550000,6.289810,228.245916,,,
1999,,,,,,,,,,,,,,,,7.830000,6.289810,229.904289,,,
2000,,,,,,,,,,,,,,,,8.800000,6.289810,244.000289,,,
2001,,,,,,,,,,,0.760000,0.359354,0.406279,0.229054,0.500000,8.982744,6.289810,251.409007,,,
